City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.9,65,100,7.31,TF,1690661607
1,abqaiq,25.9371,49.6776,32.67,30,0,2.14,SA,1690661607
2,wailua homesteads,22.0669,-159.378,27.24,87,75,8.23,US,1690661607
3,aasiaat,68.7098,-52.8699,2.87,92,94,2.96,GL,1690661607
4,nemuro,43.3236,145.575,18.06,97,98,2.8,JP,1690661608
5,albany,42.6001,-73.9662,27.75,84,88,3.23,US,1690661568
6,grytviken,-54.2811,-36.5092,1.1,98,100,10.23,GS,1690661608
7,shingu,33.7333,135.9833,24.73,88,99,1.17,JP,1690661608
8,fort bragg,35.139,-79.006,31.36,66,75,6.69,US,1690661469
9,sechura,-5.5569,-80.8222,27.74,57,27,7.05,PE,1690661609
10,adamstown,-25.066,-130.1015,18.8,57,18,10.43,PN,1690661609
11,whitehorse,60.7161,-135.0538,25.43,33,20,3.6,CA,1690661563
12,puerto natales,-51.7236,-72.4875,4.75,87,93,6.8,CL,1690661609
13,odda,60.0691,6.5457,16.85,83,100,0.88,NO,1690661610
14,falenki,58.3613,51.5946,19.51,90,56,3.65,RU,1690661610
15,alofi,-19.0595,-169.9187,20.94,100,100,5.14,NU,1690661610
16,buala,-8.145,159.5921,25.83,88,95,4.28,SB,1690661610
17,vinita,36.6387,-95.1541,36.03,21,11,4.54,US,1690661611
18,ottawa,45.4112,-75.6981,17.8,66,75,3.09,CA,1690661343
19,talnakh,69.4865,88.3972,18.45,82,97,2.49,RU,1690661612
20,blackmans bay,-43.0167,147.3167,15.41,58,30,8.0,AU,1690661612
21,minas de marcona,-15.2119,-75.1103,19.3,56,1,4.51,PE,1690661612
22,college,64.8569,-147.8028,20.18,74,75,2.57,US,1690661613
23,nova vicosa,-17.8919,-39.3719,22.85,78,100,3.41,BR,1690661613
24,waitangi,-43.9535,-176.5597,9.34,96,100,0.89,NZ,1690661613
25,tura,25.5198,90.2201,23.73,96,60,1.7,IN,1690661613
26,ilulissat,69.2167,-51.1,4.01,100,75,2.06,GL,1690661613
27,la penita de jaltomba,21.0333,-105.25,33.27,58,29,2.93,MX,1690661614
28,port elizabeth,-33.918,25.5701,12.83,53,65,12.39,ZA,1690661614
29,bir el ater,34.7449,8.0602,34.11,10,0,3.37,DZ,1690661614
30,tiksi,71.6872,128.8694,2.64,85,9,1.98,RU,1690661614
31,bom jesus,-9.0744,-44.3586,35.83,20,12,1.97,BR,1690661615
32,kailua-kona,19.6406,-155.9956,29.04,75,20,7.2,US,1690661615
33,hermanus,-34.4187,19.2345,9.33,74,86,8.47,ZA,1690661615
34,bredasdorp,-34.5322,20.0403,9.51,79,72,6.48,ZA,1690661616
35,dhandhuka,22.3667,71.9833,26.9,82,44,6.07,IN,1690661616
36,naze,28.3667,129.4833,26.0,86,32,4.38,JP,1690661616
37,olonkinbyen,70.9221,-8.7187,6.22,89,100,1.05,SJ,1690661616
38,edinburgh of the seven seas,-37.0676,-12.3116,14.64,87,100,7.86,SH,1690661617
39,idri,27.5,13.2667,34.28,14,0,2.96,LY,1690661617
40,aginskoye,51.1,114.53,17.41,70,35,1.28,RU,1690661617
41,tazacorte,28.629,-17.9293,23.54,90,20,7.2,ES,1690661618
42,isafjordur,66.0755,-23.124,9.6,82,78,2.45,IS,1690661618
43,constantia,44.1833,28.65,22.38,69,98,5.16,RO,1690661491
44,pea ridge,38.414,-82.3199,34.3,57,98,1.79,US,1690661618
45,camapua,-19.5314,-54.0439,30.99,29,12,1.84,BR,1690661619
46,macon,39.8667,-88.9668,31.03,66,0,4.63,US,1690661619
47,tucumcari,35.1717,-103.725,37.19,18,0,6.17,US,1690661619
48,muli,2.9167,73.5667,26.96,79,90,4.35,MV,1690661619
49,happy valley-goose bay,53.3168,-60.3315,18.17,63,75,5.14,CA,1690661619
50,badger,64.8,-147.5333,20.14,77,100,2.57,US,1690661620
51,mujiayingzi,42.1167,118.7833,22.17,85,100,2.82,CN,1690661620
52,udachny,66.4167,112.4,18.03,48,0,1.28,RU,1690661620
53,mermoz boabab,14.7065,-17.4758,28.88,84,75,4.12,SN,1690661620
54,bilibino,68.0546,166.4372,7.5,93,100,1.34,RU,1690661621
55,usogorsk,63.4106,48.6872,19.22,96,51,3.06,RU,1690661621
56,uturoa,-16.7333,-151.4333,26.64,77,27,10.96,PF,1690661621
57,billings,45.7833,-108.5007,28.49,49,20,2.06,US,1690661494
58,saudarkrokur,65.7461,-19.6394,10.31,86,100,2.58,IS,1690661621
59,ambodifotatra,-16.9833,49.85,23.43,65,69,5.15,MG,1690661622
60,jamestown,42.097,-79.2353,21.96,88,100,5.14,US,1690661622
61,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1690661622
62,codrington,-38.2667,141.9667,10.63,84,41,7.9,AU,1690661622
63,east london,-33.0153,27.9116,16.46,44,37,7.98,ZA,1690661623
64,papatowai,-46.5619,169.4708,7.64,81,100,1.74,NZ,1690661623
65,donggang,28.9365,114.2259,23.76,97,69,0.97,CN,1690661623
66,hamilton,39.1834,-84.5333,31.81,64,40,4.12,US,1690661557
67,longyearbyen,78.2186,15.6401,8.91,71,75,5.14,SJ,1690661624
68,lagunillas,10.1301,-71.2595,32.49,59,5,4.08,VE,1690661624
69,fort st. john,56.2499,-120.8529,21.94,40,20,4.12,CA,1690661624
70,holualoa,19.6228,-155.9522,26.97,76,20,7.2,US,1690661624
71,hadibu,12.65,54.0333,26.14,77,10,7.61,YE,1690661625
72,bijie,27.3125,105.2942,17.69,91,69,1.44,CN,1690661625
73,shurugwi,-19.6702,30.0059,15.28,34,2,3.32,ZW,1690661625
74,crane,31.3974,-102.3501,35.83,20,0,6.27,US,1690661625
75,guozhen,34.3659,107.359,22.32,95,99,0.27,CN,1690661625
76,san sebastian de la gomera,28.0916,-17.1133,24.65,68,0,2.06,ES,1690661626
77,murghob,38.1702,73.9667,9.15,65,100,1.12,TJ,1690661626
78,easton,40.6884,-75.2207,32.44,61,75,7.72,US,1690661340
79,stanley,54.868,-1.6985,15.03,82,20,4.12,GB,1690661561
80,port mathurin,-19.6833,63.4167,23.27,77,86,5.85,MU,1690661627
81,springbok,-29.6643,17.8865,3.75,94,74,3.14,ZA,1690661627
82,jindabyne,-36.4167,148.6333,3.72,89,2,2.66,AU,1690661627
83,enewetak,11.3474,162.3373,26.48,92,100,8.77,MH,1690661627
84,yellowknife,62.456,-114.3525,21.98,88,100,4.02,CA,1690661627
85,coquimbo,-29.9533,-71.3436,13.85,88,75,3.09,CL,1690661490
86,thompson,55.7435,-97.8558,25.09,38,100,3.09,CA,1690661628
87,cambria,35.5641,-121.0808,38.64,51,43,4.95,US,1690661628
88,iqaluit,63.7506,-68.5145,12.85,67,75,2.06,CA,1690661629
89,hradyz'k,49.2346,33.1361,20.62,72,15,3.87,UA,1690661629
90,podstrana,43.4833,16.5833,24.46,67,0,1.67,HR,1690661629
91,hatillo,18.4863,-66.8254,33.0,82,33,2.68,PR,1690661629
92,mankachar,25.5333,89.8667,26.67,89,23,2.57,IN,1690661629
93,polyarnyy,69.1989,33.4478,11.99,94,100,2.01,RU,1690661630
94,invercargill,-46.4,168.35,2.79,93,98,0.89,NZ,1690661630
95,mata-utu,-13.2816,-176.1745,27.18,74,94,1.94,WF,1690661630
96,anadyr,64.75,177.4833,13.28,82,75,3.58,RU,1690661630
97,nuuk,64.1835,-51.7216,11.34,66,75,5.66,GL,1690661631
98,nogliki,51.8333,143.1667,11.77,99,100,1.11,RU,1690661631
99,lensk,60.7253,114.9278,16.37,75,87,1.79,RU,1690661631
100,rocky mountain house,52.3668,-114.9188,17.06,77,38,3.6,CA,1690661547
101,porto novo,6.4965,2.6036,25.9,89,100,2.78,BJ,1690661632
102,avarua,-21.2078,-159.775,25.03,88,100,5.66,CK,1690661632
103,punta arenas,-53.15,-70.9167,4.08,82,94,8.86,CL,1690661633
104,north battleford,52.7834,-108.2847,20.05,56,20,1.54,CA,1690661531
105,cabo san lucas,22.8909,-109.9124,34.17,49,20,5.66,MX,1690661375
106,huanggang,23.677,116.9996,25.75,91,100,1.42,CN,1690661523
107,margaret river,-33.95,115.0667,13.85,73,99,4.68,AU,1690661634
108,mogocha,53.7333,119.7667,14.09,94,20,1.06,RU,1690661634
109,vadso,70.0744,29.7487,12.09,94,75,9.77,NO,1690661634
110,st. john's,47.5649,-52.7093,24.04,77,75,7.72,CA,1690661604
111,san pedro pochutla,15.7333,-96.4667,34.28,58,100,3.26,MX,1690661634
112,colonia,50.9333,6.95,19.42,86,20,2.43,DE,1690661635
113,twon-brass,4.3151,6.2418,25.76,84,95,3.84,NG,1690661635
114,mabaruma,8.2,-59.7833,27.34,92,79,2.01,GY,1690661635
115,goure,13.9835,10.2704,34.3,32,6,3.0,NE,1690661635
116,severoural'sk,60.1533,59.952,15.53,83,3,0.77,RU,1690661636
117,praia da vitoria,38.7333,-27.0667,25.98,88,40,3.74,PT,1690661636
118,kodiak,57.79,-152.4072,14.73,88,100,6.17,US,1690661636
119,sitka,57.0531,-135.33,17.94,72,20,1.54,US,1690661636
120,pisco,-13.7,-76.2167,21.03,73,0,6.17,PE,1690661637
121,hawaiian paradise park,19.5933,-154.9731,27.73,68,40,4.63,US,1690661637
122,dumai,1.6833,101.45,24.11,97,100,1.53,ID,1690661638
123,ushuaia,-54.8,-68.3,7.81,71,75,10.8,AR,1690661564
124,chibougamau,49.9168,-74.3659,13.79,58,75,2.06,CA,1690661638
125,santa elena de uairen,4.6167,-61.1333,25.71,65,43,2.76,VE,1690661639
126,gornopravdinsk,60.05,69.9,16.23,98,33,3.26,RU,1690661639
127,klaksvik,62.2266,-6.589,13.51,98,100,8.13,FO,1690661639
128,dudinka,69.4058,86.1778,18.68,87,80,1.99,RU,1690661639
